County,Organisation,Project Title,Amount Sought,Organisation Type ,Sport Type,Grant Category
Clare,Naomh Eoin GAA Club,Refurbishment of showers and toilet facilities.,"?9,500",Sports Club,Gaelic Games,Local
Clare,Newmarket Celtic FC,Female Dressing RoomLED LightsPitch Storage,"?138,597",Sports Club,Soccer,Local
Clare,Newmarket on Fergus Handball Club,Newmarket on Fergus Handball Club,"?64,109",Sports Club,Handball,Local
Clare,Newmarket-on-Fergus Community Centre Ltd,Karate equipment,"?2,500",Community Group,Multi-sport,Local
Clare,Newmarket-on-fergus GAA Club,Development of a Multipurpose exercise facility.,"?200,000",Sports Club,Gaelic Games,Local
Clare,O'Callaghans Mills GAA Club,Construction of Synthetic Grass Training Area,"?61,680",Sports Club,Gaelic Games,Local
Clare,Ogonnelloe Hurling Club,O'GONNELLOE BUILDING OUR FUTURE,"?200,000",Sports Club,Gaelic Games,Local
Clare,Parkville FC,Astro Turf Sports Playing Surface,"?189,555",Sports Club,Soccer,Local
Clare,Royal Western Yacht Club of Ireland Ltd,Development of Sail Training and participation,"?44,550",Sports Club,Sailing,Local
Clare,Ruan GAA Club,Ruan GAA Enclosed All Weather Pitch,"?184,000",Sports Club,Gaelic Games,Local
Clare,Scariff GAA Park Committee,Scariff GAA -Security Fencing,"?40,615",Sports Club,Gaelic Games,Local
Clare,Shannon Gaels GAA Club (Clare),To upgrade our community training facility,"?60,300",Sports Club,Gaelic Games,Local
Clare,Shannon Golf Club,Essential Course Improvement Equipment,"?40,000",Sports Club,Golf,Local
Clare,Shannon Handball Club,Refurbishment of the Shannon Handball Court,"?55,322",Sports Club,Handball,Local
Clare,Shannon Leisure Centre Ltd,"Energy Efficiency, Heating/boiler Refurb gym","?86,950",Sports Centre,Multi-sport,Local
Clare,Shannon Paddlers,"Shannon Paddlers Equipment Grant,","?13,800",Sports Club,Canoeing / Kayaking,Local
Clare,Shannon Town United,Sports and Maintenance Equipment Grant,"?30,923",Sports Club,Soccer,Local
Clare,Sixmilebridge Camogie Club,Sixmilebridge Camogie Club SC 2023,"?63,200",Sports Club,Camogie,Local
Clare,Sixmilebridge GAA Club,Floodlights. Walking Track. Mower. Dugouts. CCTV.,"?200,000",Sports Club,Gaelic Games,Local
Clare,SKB Gerdy's Community Gym,Upgrade current equipment and facilities,"?65,000",Community Group,Athletics,Local
Clare,Smith O Brien gaa club,Facility Enhancements & Pitch Mower,"?188,000",Sports Club,Gaelic Games,Local
Clare,Sporting Ennistymon FC,Equipment Upgrade,"?51,117",Sports Club,Soccer,Local
Clare,St Breckans GAA,CLG Naomh Breac�in Pitch & Maintenance Development,"?200,000",Sports Club,Gaelic Games,Local
Clare,St Cronans AC,St Cronans AC,"?7,004",Sports Club,Athletics,Local
Clare,St Josephs Miltown Malbay GAA Club,"Gym Facilities, Pitch Improvements & Solar Panels","?123,500",Sports Club,Gaelic Games,Local
Clare,St Josephs N.S. (Miltown Malbay),Miltown Malbay NS Sports and Athletic Centre,"?180,000",School (primary or second level),Multi-sport,Local
Clare,St Pats Soccer Club Limited,"Ball Stop Nets, Portable Goals, jerseys","?23,782",Sports Club,Soccer,Local
Clare,St Senans RFC,"St Senans RFC introduces ""Skill Zone""","?120,426",Sports Club,Rugby,Local
Clare,St. Mochulla's NS,St.Mochullas NS & Tulla Camogie Club Floodlighting,"?69,045",School (primary or second level),Multi-sport,Local
Clare,Stonehall School,astroturf and running track,"?55,251",School (primary or second level),Gaelic Games,Local
Clare,Truagh Camogie Club,"Camogie - It's for you, me and everyone","?43,204",Sports Club,Camogie,Local
Clare,Tuamgraney Handball Club,Refurbishment of Tuamgraney Handball 40x20 Court,"?35,000",Sports Club,Handball,Local
Clare,Tubber Gaa,Astro Turf Playing Field Development- Tubber GAA,"?70,012",Sports Club,Gaelic Games,Local
Clare,Tulla District and Angling Club,Inclusive Angling and Research Coloration (IARC),"?84,635",Sports Club,Angling/Fishing,Local
Clare,Tulla GAA Club,Tulla GAA Club Hurling Wall Ball,"?200,000",Sports Club,Gaelic Games,Local
Clare,Waterworld Kilkee CLG,Kilkee Waterworld (KWW) refurbishment project,"?106,953",Sports Centre,Swimming,Local
Clare,West Coast Surf Club,Changing Facilities and Storage.,"?38,550",Sports Club,Surfing,Local
